doi,title,publication year,publication venue,type,issue,volume
10.4028/www.scientific.net/msf.503-504.1007,Study of the Nanometric Grain Size Distribution in Iron Compacts Obtained by Mechanical Milling,2006,Materials Science Forum,journal article,,503-504
10.1023/a:1022699503967,,1998,Journal of Materials Synthesis and Processing,journal article,2,6
10.4028/www.scientific.net/msf.508.99,Formation of Lead Bearing Surface Layers on Aluminum Alloys by Laser Alloying,2006,Materials Science Forum,journal article,,508
10.1016/s0043-1648(00)00397-5,Improvement of the wear behaviour of Al–Pb alloys by mechanical alloying,2000,Wear,journal article,1-2,242
10.4028/www.scientific.net/msf.508.405,Nonequilibrium Kinetics of Phase Boundary Movement in Cellular Automaton Modelling,2006,Materials Science Forum,journal article,,508
10.1080/00018739100101472,Pattern selection in two-dimensional dendritic growth,1991,Advances in Physics,journal article,1,40
10.1103/physreva.36.3340,Dynamics of dendritic sidebranching in the two-dimensional symmetric model of solidification,1987,Physical Review A,journal article,7,36
10.1103/physrevlett.51.1111,Geometrical Approach to Moving-Interface Dynamics,1983,Physical Review Letters,journal article,13,51
10.1016/0001-6160(78)90078-0,Theory of dendritic growth—I. Elements of a stability analysis,1978,Acta Metallurgica,journal article,11,26
10.4028/www.scientific.net/msf.508.585,Measurement of the Kinetics of Thermal Effects during Phase Transformations in ADI,2006,Materials Science Forum,journal article,,508
10.4028/www.scientific.net/msf.512.211,Surface Properties of Ag-Cu-Zr Liquid Alloys in Relation to the Wettability of Boride Ceramics,2006,Materials Science Forum,journal article,,512
10.1007/978-1-4684-6099-5,Handbook of Refractory Compounds,1980,,book,,
10.4028/www.scientific.net/msf.514-516.422,New Oxide-Ion Conductors Ln<sub>2+x</sub>Ti<sub>2-x</sub>O<sub>7-x/2</sub> (Ln = Dy – Lu; x=0.096),2006,Materials Science Forum,journal article,,514-516
10.1142/9789814434294_0015,OXYGEN ION CONDUCTORS,1989,High Conductivity Solid Ionic Conductors,book chapter,,
10.4028/www.scientific.net/msf.514-516.417,Microstructure and Electrical Conductivity of Yb<sub>2+x</sub>Ti<sub>2-x</sub>O<sub>7-x/2</sub> Materials,2006,Materials Science Forum,journal article,,514-516
10.1016/0167-2738(92)90099-b,Mixed ionic-electronic conduction in a number of fluorite and pyrochlore compounds,1992,Solid State Ionics,journal article,1-3,52
10.4028/www.scientific.net/msf.514-516.549,Phase Formation in Austenitic Stainless Steel A-TIG Welds,2006,Materials Science Forum,journal article,,514-516
10.4028/www.scientific.net/msf.455-456.312,Effect of Cooling Rate on the Microstructure and Hardness of Austenitic Stainless Steel Welds,2004,Materials Science Forum,journal article,,455-456
10.1179/stw.2001.6.6.341,Recent advances in modelling and characterisation of weld microstructures,2001,Science and Technology of Welding and Joining,journal article,6,6
10.1126/science.257.5069.497,Current Issues and Problems in Welding Science,1992,Science,journal article,5069,257
10.4028/www.scientific.net/msf.514-516.559,Residual Stress Evaluation on X 36 Cr Mo 17 HSM Finished Mould Steel,2006,Materials Science Forum,journal article,,514-516
10.1016/s0924-0136(02)00282-0,Surface integrity of hot work tool steel after high speed milling-experimental data and empirical models,2002,Journal of Materials Processing Technology,journal article,3,127
10.4028/www.scientific.net/msf.514-516.604,Statistical Modelling of the Particle Size Composition of an Alumina Matrix for No-Cement Self-Flowing Refractory Castables,2006,Materials Science Forum,journal article,,514-516
10.1590/s0366-69132004000400010,Aplicação de métodos estatísticos na otimização da densidade de empacotamento de distribuições de pós de alumina,2004,Cerâmica,journal article,316,50
10.1111/j.1151-2916.1961.tb13716.x,Mechanical Packing of Spherical Particles,1961,Journal of the American Ceramic Society,journal article,10,44
10.1063/1.1698327,Density and Packing in an Aggregate of Mixed Spheres,1949,Journal of Applied Physics,journal article,2,20
10.1063/1.1707686,Coordination Number in Solid Solutions—A Mathematical Paradox,1946,Journal of Applied Physics,journal article,12,17
10.4028/www.scientific.net/msf.514-516.768,Evaluation of Welding Residual Stresses Using the Incremental Hole-Drilling Technique,2006,Materials Science Forum,journal article,,514-516
10.1115/1.3226059,Measurement of Non-Uniform Residual Stresses Using the Hole-Drilling Method. Part I—Stress Calculation Procedures,1988,Journal of Engineering Materials and Technology,journal article,4,110
10.4028/www.scientific.net/msf.517.81,The Effects of Deposition Pressure on the Optical and Structural Properties of d.c. PECVD Hydrogenated Amorphous Carbon Films,2006,Materials Science Forum,journal article,,517
10.1016/s0925-9635(01)00553-2,Growth mechanism of amorphous hydrogenated carbon,2002,Diamond and Related Materials,journal article,3-6,11
10.4028/www.scientific.net/msf.518.181,Advanced Ways and Experimental Methods in Self-Propagating High-Temperature Synthesis (SHS) of Inorganic Materials,2006,Materials Science Forum,journal article,,518
10.1007/bf00585421,Self-propagating high-temperature (combustion) synthesis (SHS) of powder-compacted materials,1990,Journal of Materials Science,journal article,2,25
10.1080/00102207508946671,A New Class of Combustion Processes†,1975,Combustion Science and Technology,journal article,5-6,10
10.4028/www.scientific.net/msf.514-516.744,Characterisation of Elastoplastic Behaviour Using Spherical Indentation,2006,Materials Science Forum,journal article,,514-516
10.1520/jte12097j,Characterization of Mechanical Properties in Surface-Treated Materials,2000,Journal of Testing and Evaluation,journal article,3,28
10.4028/www.scientific.net/msf.514-516.1623,On a New Method Based on X-Ray Diffraction to Identify Stress-Strain Laws on Surface-Treated Materials,2006,Materials Science Forum,journal article,,514-516
10.1007/bf02327502,Use of the hole-drilling method for measuring residual stresses in highly stressed shot-peened surfaces,2000,Experimental Mechanics,journal article,3,40
10.1016/0378-3804(85)90023-3,Measurement of residual-stress distribution by the incremental hole-drilling method,1985,Journal of Mechanical Working Technology,journal article,2,11
10.4028/www.scientific.net/msf.519-521.15,Through Process Modelling,2006,Materials Science Forum,journal article,,519-521
10.1002/3527603786,Continuum Scale Simulation of Engineering Materials,2004,,book,,
10.4028/www.scientific.net/msf.514-516.1726,Electrical Characterization of Mullite Bodies Containing Al-Rich Anodizing Sludge,2006,Materials Science Forum,journal article,,514-516
10.1023/a:1023829601833,,2002,Journal of Materials Synthesis and Processing,journal article,6,10
10.4028/www.scientific.net/msf.524-525.83,A Novel Closed-Form Calculation of the Stress Intensity Factor for a Crack in a Residual Stress Field,2006,Materials Science Forum,journal article,,524-525
10.1016/j.engfracmech.2006.10.017,Stress intensity factors for through-thickness cracks in a wide plate: Derivation and application to arbitrary weld residual stress fields,2007,Engineering Fracture Mechanics,journal article,13,74
10.4028/www.scientific.net/msf.524-525.241,Residual Stress Reconstruction by Variational Eigenstrain Procedures,2006,Materials Science Forum,journal article,,524-525
10.1007/978-94-009-3489-4,Micromechanics of defects in solids,1987,,book,,
10.4028/www.scientific.net/msf.519-521.635,Influence of Composition and Roughness on Localized Corrosion of Al-Mg-Si Alloys Characterized by Microelectrochemistry,2006,Materials Science Forum,journal article,,519-521
10.1016/s0010-938x(02)00031-8,Filiform corrosion of AA3005 aluminium analogue model alloys,2002,Corrosion Science,journal article,11,44
10.4028/www.scientific.net/msf.524-525.63,Residual Stresses Induced by Cross-Rolling,2006,Materials Science Forum,journal article,,524-525
10.1080/14786430310001604985,Microstresses in textured polycrystals studied by the multireflection diffraction method and self-consistent model,2003,Philosophical Magazine,journal article,28,83
10.1080/00018738500101791,Neutron diffraction methods for the study of residual stress fields,1985,Advances in Physics,journal article,4,34
10.1016/0308-9126(81)90077-8,Measurement of internal stress within bulk materials using neutron diffraction,1981,NDT International,journal article,5,14
10.4028/www.scientific.net/msf.524-525.299,Residual Stress in Laser Bent Steel Components,2006,Materials Science Forum,journal article,,524-525
10.1243/pime_proc_1995_209_107_02,Extending Laser Bending for the Generation of Convex Shapes,1995,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",journal article,6,209
10.1016/s0007-8506(07)62448-2,The Mechanisms of Laser Forming,1993,CIRP Annals,journal article,1,42
10.4028/www.scientific.net/msf.524-525.305,The Influence of Aluminium Alloy Quench Sensitivity on the Magnitude of Heat Treatment Induced Residual Stress,2006,Materials Science Forum,journal article,,524-525
10.1179/mst.1987.3.11.923,Quench factor analysis of aluminium alloys,1987,Materials Science and Technology,journal article,11,3
10.1007/bf02643097,Interpretation of quench-sensitivity in Al-Zn-Mg-Cu Alloys,1973,Metallurgical Transactions,journal article,3,4
10.1007/bf02664256,Comparison of the influence of chromium and zirconium on the quench sensitivity of Al-Zn-Mg-Cu alloys,1971,Metallurgical Transactions,journal article,4,2
10.1016/0001-6160(69)90067-4,Precipitation and recrystallization in an A1-0.5 WT.% Zr-alloy,1969,Acta Metallurgica,journal article,3,17
10.4028/www.scientific.net/msf.524-525.343,Residual Stress Analysis in Shot Peened and Fretting Fatigued Samples by the Eigenstrain Method,2006,Materials Science Forum,journal article,,524-525
10.1107/s0909049598006803,"Station 16.3: a High-Resolution Single-Crystal Diffraction Facility at the SRS, Daresbury",1998,Journal of Synchrotron Radiation,journal article,5,5
10.4028/www.scientific.net/msf.524-525.427,Diffraction Post-Processor for Polycrystalline Plasticity Modelling,2006,Materials Science Forum,journal article,,524-525
10.1016/s0749-6419(00)00061-9,Intergranular and intragranular behavior of polycrystalline aggregates. Part 1: F.E. model,2001,International Journal of Plasticity,journal article,4,17
10.4028/www.scientific.net/msf.519-521.1157,Interface Reactions of Al and Binary Al-Alloys on Mild Steel Substrates in Controlled Atmosphere,2006,Materials Science Forum,journal article,,519-521
10.1007/s11661-003-0215-9,Analysis of the mechanism of die soldering in aluminum die casting,2003,Metallurgical and Materials Transactions A,journal article,1,34
10.4028/www.scientific.net/msf.524-525.671,Residual Stress Measurements in Single and Multi-Pass Groove Weld Specimens Using Neutron Diffraction and the Contour Method,2006,Materials Science Forum,journal article,,524-525
10.1016/j.physb.2004.03.139,"A comparison between Engin and Engin-X, a new diffractometer optimized for stress measurement",2004,Physica B: Condensed Matter,journal article,1-3,350
10.4028/www.scientific.net/msf.524-525.679,The Effect of Plastic Anisotropy on the Residual Stress within a 316L Stainless Steel Bead-on-Plate Specimen,2006,Materials Science Forum,journal article,,524-525
10.1016/s1359-6454(99)00354-7,Measured and predicted intergranular strains in textured austenitic steel,2000,Acta Materialia,journal article,2,48
10.4028/www.scientific.net/msf.524-525.743,Oxford HEXameter: Laboratory High Energy X-Ray Diffractometer for Bulk Residual Stress Analysis,2006,Materials Science Forum,journal article,,524-525
10.1023/a:1022607030355,,1998,Journal of Nondestructive Evaluation,journal article,3,17
